Entity,Code,Year,Fossil fuels (TWh growth)
Algeria,DZA,2012,43.136474609375
Algeria,DZA,2013,30.0970458984375
Algeria,DZA,2014,48.296142578125
Algeria,DZA,2015,31.9951171875
Algeria,DZA,2016,-0.8240966796875
Algeria,DZA,2017,6.1575927734375
Algeria,DZA,2018,47.17633056640625
Algeria,DZA,2019,23.406494140625
Algeria,DZA,2020,-40.37261962890625
Algeria,DZA,2021,30.330810546875
Argentina,ARG,1966,10.599273681640625
Argentina,ARG,1967,9.768096923828125
Argentina,ARG,1968,11.137664794921875
Argentina,ARG,1969,12.5242919921875
Argentina,ARG,1970,-20.236541748046875
Argentina,ARG,1971,21.27899169921875
Argentina,ARG,1972,4.780517578125
Argentina,ARG,1973,12.694549560546875
Argentina,ARG,1974,6.90447998046875
Argentina,ARG,1975,-14.042236328125
Argentina,ARG,1976,20.046783447265625
Argentina,ARG,1977,19.1778564453125
Argentina,ARG,1978,-8.7713623046875
Argentina,ARG,1979,24.483306884765625
Argentina,ARG,1980,-14.990142822265625
Argentina,ARG,1981,-13.93914794921875
Argentina,ARG,1982,2.507049560546875
Argentina,ARG,1983,12.765472412109375
Argentina,ARG,1984,-6.408599853515625
Argentina,ARG,1985,-11.359466552734375
Argentina,ARG,1986,26.25372314453125
Argentina,ARG,1987,18.26165771484375
Argentina,ARG,1988,30.413116455078125
Argentina,ARG,1989,-10.96307373046875
Argentina,ARG,1990,-28.236419677734375
Argentina,ARG,1991,12.423095703125
Argentina,ARG,1992,30.1484375
Argentina,ARG,1993,3.118408203125
Argentina,ARG,1994,19.14239501953125
Argentina,ARG,1995,25.04376220703125
Argentina,ARG,1996,39.32562255859375
Argentina,ARG,1997,-9.7822265625
Argentina,ARG,1998,29.253662109375
Argentina,ARG,1999,23.3270263671875
Argentina,ARG,2000,-16.1685791015625
Argentina,ARG,2001,-41.5755615234375
Argentina,ARG,2002,-22.02490234375
Argentina,ARG,2003,47.5291748046875
Argentina,ARG,2004,52.9910888671875
Argentina,ARG,2005,38.312255859375
Argentina,ARG,2006,27.1708984375
Argentina,ARG,2007,57.447265625
Argentina,ARG,2008,11.22705078125
Argentina,ARG,2009,-35.4207763671875
Argentina,ARG,2010,31.469970703125
Argentina,ARG,2011,30.51812744140625
Argentina,ARG,2012,38.54534912109375
Argentina,ARG,2013,27.43206787109375
Argentina,ARG,2014,-1.64263916015625
Argentina,ARG,2015,12.2913818359375
Argentina,ARG,2016,-0.06549072265625
Argentina,ARG,2017,-3.16021728515625
Argentina,ARG,2018,-12.48150634765625
Argentina,ARG,2019,-55.50555419921875
Argentina,ARG,2020,-51.7308349609375
Argentina,ARG,2021,71.4957275390625
Asia,,1966,436.79443359375
Asia,,1967,303.78857421875
Asia,,1968,435.23291015625
Asia,,1969,878.05029296875
Asia,,1970,969.19921875
Asia,,1971,772.59033203125
Asia,,1972,559.29296875
Asia,,1973,857.470703125
Asia,,1974,147.896484375
Asia,,1975,337.921875
Asia,,1976,611.1142578125
Asia,,1977,821.1708984375
Asia,,1978,767.7421875
Asia,,1979,669.7802734375
Asia,,1980,-59.7109375
Asia,,1981,140.2861328125
Asia,,1982,266.470703125
Asia,,1983,701.345703125
Asia,,1984,1174.6904296875
Asia,,1985,2627.9970703125
Asia,,1986,784.361328125
Asia,,1987,1033.6953125
Asia,,1988,1417.380859375
Asia,,1989,1065.23828125
Asia,,1990,865.46875
Asia,,1991,933.765625
Asia,,1992,1166.888671875
Asia,,1993,917.697265625
Asia,,1994,1434.81640625
Asia,,1995,1095.384765625
Asia,,1996,1345.853515625
Asia,,1997,881.369140625
Asia,,1998,-95.72265625
Asia,,1999,1126.466796875
Asia,,2000,1292.3125
Asia,,2001,1132.5
Asia,,2002,1804.93359375
Asia,,2003,3227.140625
Asia,,2004,3616.69140625
Asia,,2005,3359.70703125
Asia,,2006,2639.2109375
Asia,,2007,3242.61328125
Asia,,2008,1542.73046875
Asia,,2009,1288.33984375
Asia,,2010,3350.07421875
Asia,,2011,3500.08203125
Asia,,2012,2246.81640625
Asia,,2013,1340.94140625
Asia,,2014,1478.4453125
Asia,,2015,977.4140625
Asia,,2016,1153.84375
Asia,,2017,1807.5625
Asia,,2018,2096.1640625
Asia,,2019,1058.6328125
Asia,,2020,-1648.53125
